t_ms,ax_g,ax_lpf_g
6460,0.001,0.001
6466,0.001,0.001
6472,0.001,0.001
6479,0.000,0.000
6484,0.000,0.000
6490,0.001,0.001
6496,0.001,0.001
6503,0.001,0.001
6509,-0.001,-0.001
6514,0.001,0.001
6520,0.000,0.000
6527,0.001,0.000
6532,0.001,0.001
6538,-0.000,-0.000
6544,0.001,0.001
6551,0.001,0.001
6556,-0.001,-0.001
6562,-0.003,-0.003
6569,0.001,0.001
6575,0.000,0.000
6580,0.001,0.000
6586,0.000,0.000
6592,-0.001,-0.001
6599,0.001,0.001
6604,-0.000,-0.000
6610,-0.002,-0.002
6616,0.001,0.000
6623,-0.001,-0.001
6634,-0.002,-0.002
6639,0.000,-0.000
6649,-0.001,-0.001
6656,-0.002,-0.002
6662,0.001,0.000
6669,-0.001,-0.001
6674,-0.000,-0.000
6681,0.001,0.001
6686,0.001,0.001
6692,0.000,0.000
6698,-0.002,-0.002
6705,-0.002,-0.002
6710,-0.001,-0.001
6716,0.001,0.001
6722,0.000,0.000
6729,0.000,0.000
6735,-0.001,-0.001
6741,0.000,-0.000
6748,-0.001,-0.001
6753,0.000,-0.000
6759,0.001,0.001
6765,-0.002,-0.002
6772,-0.002,-0.002
6777,0.001,0.000
6783,0.000,0.000
6789,0.001,0.001
6796,0.001,0.001
6801,0.001,0.001
6807,0.002,0.002
6813,-0.000,-0.000
6820,-0.001,-0.001
6825,-0.001,-0.001
6831,-0.002,-0.002
6837,0.000,-0.000
6844,0.001,0.000
6849,-0.000,-0.000
6855,0.001,0.000
6861,0.001,0.001
6868,0.000,0.000
6873,0.003,0.003
6879,0.001,0.002
6885,0.000,0.000
6892,-0.001,-0.001
6897,-0.002,-0.002
6908,-0.001,-0.001
6913,-0.001,-0.001
6919,0.000,-0.000
6926,0.001,0.001
6931,0.001,0.001
6937,0.000,0.000
6943,0.001,0.000
6950,-0.001,-0.001
6955,0.001,0.000
6961,-0.000,-0.000
6967,-0.001,-0.001
6974,-0.001,-0.001
6979,0.000,-0.000
6985,-0.000,-0.000
6991,-0.003,-0.003
7001,0.001,0.000
7008,0.001,0.001
7013,0.001,0.001
7019,-0.001,-0.001
7025,-0.001,-0.001
7032,0.001,0.001
7037,0.000,0.000
7043,0.000,0.000
7049,0.001,0.001
7056,-0.000,-0.000
7061,0.001,0.001
7067,-0.001,-0.001
7073,-0.000,-0.000
7080,-0.002,-0.002
7085,0.001,0.000
7091,-0.000,-0.000
7097,0.001,0.000
7104,0.001,0.001
7109,0.001,0.001
7115,-0.000,-0.000
7121,0.001,0.001
7128,0.002,0.002
7133,-0.000,-0.000
7139,0.001,0.001
7145,0.002,0.002
7152,0.001,0.002
7157,0.000,0.000
7163,0.001,0.000
7169,-0.001,-0.001
7182,-0.003,-0.003
7187,-0.001,-0.002
7193,-0.001,-0.001
7200,0.002,0.002
7205,-0.000,-0.000
7211,0.001,0.001
7217,0.001,0.001
7224,-0.001,-0.001
7229,0.000,-0.000
7235,-0.001,-0.001
7241,0.000,-0.000
7248,0.002,0.002
7253,0.001,0.001
7259,0.001,0.001
7265,-0.000,-0.000
7272,-0.000,-0.000
7277,0.001,0.000
7283,0.002,0.002
7289,-0.000,-0.000
7296,0.000,0.000
7301,-0.001,-0.001
7307,0.001,0.001
7313,-0.001,-0.001
7320,0.000,-0.000
7325,-0.001,-0.001
7331,-0.001,-0.001
7337,0.001,0.000
7344,-0.002,-0.002
7397,-0.001,-0.001
